date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:44	81/81	---MCZ	200	added ('OK')	text/plain	etag:W/%2241-19b605371c0%22	https://jumptask.io/robots.txt		(from )
12:24:45	395504/395504	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2017:24:45%20GMT	https://jumptask.io/	jumptask.io/index.html	(from )
12:24:46	48432/48432	---M--	200	added ('OK')	font/woff2	etag:W/%22bd30-19b60532f58%22	https://jumptask.io/_next/static/media/e4af272ccee01ff0-s.p.woff2	jumptask.io/_next/static/media/e4af272ccee01ff0-s.p.woff2	(from https://jumptask.io/)
12:24:47	15470/15470	---MCZ	200	added ('OK')	text/css	etag:W/%223c6e-19b60532f58%22	https://jumptask.io/_next/static/css/d8d8e1eb0bccfcbd.css	jumptask.io/_next/static/css/d8d8e1eb0bccfcbd.css	(from https://jumptask.io/)
12:24:48	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-19b60532f58%22	https://jumptask.io/_next/static/chunks/polyfills-42372ed130431b0a.js	jumptask.io/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://jumptask.io/)
12:24:49	2204/2204	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289c-19b60532f58%22	https://jumptask.io/_next/static/chunks/webpack-91e4d7af6dfda032.js	jumptask.io/_next/static/chunks/webpack-91e4d7af6dfda032.js	(from https://jumptask.io/)
12:24:51	139997/139997	---MCZ	200	added ('OK')	application/javascript	etag:W/%22222dd-19b60532f58%22	https://jumptask.io/_next/static/chunks/framework-6d28727e634f0245.js	jumptask.io/_next/static/chunks/framework-6d28727e634f0245.js	(from https://jumptask.io/)
12:24:51	116703/116703	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c7df-19b60532f58%22	https://jumptask.io/_next/static/chunks/main-e60c74981dc104d0.js	jumptask.io/_next/static/chunks/main-e60c74981dc104d0.js	(from https://jumptask.io/)
12:24:52	562/562	---MCZ	200	added ('OK')	application/javascript	etag:W/%22232-19b60532f58%22	https://jumptask.io/_next/static/chunks/pages/index-212a0d26346004fc.js	jumptask.io/_next/static/chunks/pages/index-212a0d26346004fc.js	(from https://jumptask.io/)
12:24:52	1175114/1175114	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211ee4a-19b60532f58%22	https://jumptask.io/_next/static/chunks/pages/_app-4b062919ea2c3e24.js	jumptask.io/_next/static/chunks/pages/_app-4b062919ea2c3e24.js	(from https://jumptask.io/)
12:24:54	1805/1805	---MCZ	200	added ('OK')	application/javascript	etag:W/%2270d-19b60532f58%22	https://jumptask.io/_next/static/VvN5qxhXiv48ZbT-9_bIi/_buildManifest.js	jumptask.io/_next/static/VvN5qxhXiv48ZbT-9_bIi/_buildManifest.js	(from https://jumptask.io/)
